file                                       parity/total   setup_ok   timing summary
cte.slt                                    2/32           6/18       n=2 ratio(duck/sloth) median=3.11x p10=1.57x p90=3.11x sloth_total=0ms duck_total=1ms
date_bin_errors.slt                        0/6            0/0        n=0
ddl.slt                                    1/40           15/110     n=1 ratio(duck/sloth) median=4.23x p10=4.23x p90=4.23x sloth_total=0ms duck_total=0ms
decimal.slt                                14/144         2/6        n=14 ratio(duck/sloth) median=5.01x p10=4.40x p90=6.47x sloth_total=1ms duck_total=4ms
delete.slt                                 0/0            1/1        n=0
describe.slt                               1/2            2/8        n=1 ratio(duck/sloth) median=2.39x p10=2.39x p90=2.39x sloth_total=0ms duck_total=0ms
dictionary.slt                             0/18           0/16       n=0
dictionary_struct.slt                      0/13           0/0        n=0
distinct_on.slt                            0/9            0/4        n=0
dml_delete.slt                             2/20           6/20       n=2 ratio(duck/sloth) median=4.13x p10=1.83x p90=4.13x sloth_total=0ms duck_total=1ms
dml_update.slt                             4/24           15/31      n=4 ratio(duck/sloth) median=3.76x p10=2.08x p90=4.33x sloth_total=0ms duck_total=1ms
dynamic_file.slt                           0/21           0/2        n=0
dynamic_filter_pushdown_config.slt         0/15           0/25       n=0
eliminate_outer_join.slt                   16/24          6/6        n=16 ratio(duck/sloth) median=5.34x p10=3.95x p90=9.37x sloth_total=2ms duck_total=13ms
encoding.slt                               0/23           0/5        n=0
encrypted_parquet.slt                      0/7            1/3        n=0
errors.slt                                 0/2            1/2        n=0
explain.slt                                0/0            4/10       n=0
explain_analyze.slt                        0/4            0/13       n=0
explain_tree.slt                           0/4            2/26       n=0
expr.slt                                   29/362         2/18       n=29 ratio(duck/sloth) median=4.80x p10=2.83x p90=7.08x sloth_total=2ms duck_total=9ms
filter_without_sort_exec.slt               0/2            0/4        n=0
float16.slt                                0/5            0/4        n=0
floor_preimage.slt                         0/17           0/2        n=0
functions.slt                              61/186         8/37       n=61 ratio(duck/sloth) median=5.38x p10=4.27x p90=6.79x sloth_total=3ms duck_total=18ms
group.slt                                  0/25           0/12       n=0
group_by.slt                               197/414        24/113     n=197 ratio(duck/sloth) median=6.63x p10=5.58x p90=13.26x sloth_total=15ms duck_total=124ms
grouping.slt                               0/15           0/1        n=0
grouping_set_repartition.slt               0/3            0/6        n=0
ident_normalization.slt                    3/5            5/13       n=3 ratio(duck/sloth) median=4.89x p10=2.88x p90=6.45x sloth_total=0ms duck_total=1ms
identifiers.slt                            0/11           0/4        n=0
imdb.slt                                   0/113          63/63      n=0
information_schema.slt                     0/13           2/29       n=0
information_schema_columns.slt             0/1            0/3        n=0
information_schema_multiple_catalogs.slt   0/2            0/10       n=0
information_schema_table_types.slt         0/1            0/4        n=0
inner_product.slt                          0/23           0/0        n=0
insert.slt                                 1/28           4/22       n=1 ratio(duck/sloth) median=3.35x p10=3.35x p90=3.35x sloth_total=0ms duck_total=0ms
insert_to_external.slt                     0/48           0/30       n=0
intersection.slt                           0/4            0/1        n=0
issue_17138.slt                            0/2            2/2        n=0
join_disable_repartition_joins.slt         0/2            0/1        n=0
join_is_not_distinct_from.slt              2/7            15/15      n=2 ratio(duck/sloth) median=5.42x p10=5.28x p90=5.42x sloth_total=0ms duck_total=1ms
join_limit_pushdown.slt                    0/10           0/6        n=0
join_lists.slt                             0/2            0/4        n=0
join_only.slt                              0/0            0/0        n=0
joins.slt                                  4/157          35/152     n=4 ratio(duck/sloth) median=3.41x p10=2.72x p90=26.04x sloth_total=1ms duck_total=4ms
json.slt                                   0/9            0/7        n=0
lateral_join.slt                           0/49           0/12       n=0
lead_lag_extreme_offsets.slt               0/7            0/1        n=0
limit.slt                                  10/51          1/19       n=10 ratio(duck/sloth) median=4.31x p10=3.65x p90=4.69x sloth_total=1ms duck_total=4ms
limit_pruning.slt                          0/2            0/9        n=0
limit_single_row_batches.slt               0/1            0/2        n=0
list_view.slt                              0/2            0/2        n=0
listing_table_partitions.slt               0/15           0/4        n=0
listing_table_statistics.slt               0/0            0/4        n=0
map.slt                                    0/107          0/10       n=0
math.slt                                   3/81           3/9        n=3 ratio(duck/sloth) median=4.92x p10=2.91x p90=5.53x sloth_total=0ms duck_total=1ms
metadata.slt                               0/47           0/2        n=0
misc.slt                                   3/4            0/0        n=3 ratio(duck/sloth) median=4.74x p10=3.68x p90=4.85x sloth_total=0ms duck_total=1ms
monotonic_projection_test.slt              0/0            0/1        n=0
named_arguments.slt                        1/21           0/2        n=1 ratio(duck/sloth) median=2.63x p10=2.63x p90=2.63x sloth_total=0ms duck_total=0ms
nested_loop_join_spill.slt                 0/4            0/0        n=0
null_aware_anti_join.slt                   0/20           2/32       n=0
nullif.slt                                 7/24           0/3        n=7 ratio(duck/sloth) median=5.84x p10=2.62x p90=6.89x sloth_total=0ms duck_total=2ms
nvl.slt                                    0/15           0/1        n=0
nvl2.slt                                   0/8            0/1        n=0
operator.slt                               0/13           0/2        n=0
optimizer_group_by_constant.slt            0/0            0/1        n=0
options.slt                                3/30           0/2        n=3 ratio(duck/sloth) median=4.64x p10=2.91x p90=5.06x sloth_total=0ms duck_total=1ms
order.slt                                  2/68           0/35       n=2 ratio(duck/sloth) median=1.85x p10=1.41x p90=1.85x sloth_total=1ms duck_total=2ms
parquet.slt                                1/46           3/48       n=1 ratio(duck/sloth) median=2.17x p10=2.17x p90=2.17x sloth_total=1ms duck_total=1ms
parquet_cdc.slt                            0/17           0/9        n=0
parquet_filter_pushdown.slt                0/32           0/31       n=0
parquet_sorted_statistics.slt              0/3            0/10       n=0
parquet_statistics.slt                     0/3            0/8        n=0
pipe_operator.slt                          0/14           0/1        n=0
predicates.slt                             0/63           0/21       n=0
prepare.slt                                0/20           0/36       n=0
preserve_file_partitioning.slt             0/27           0/10       n=0
projection.slt                             4/12           0/16       n=4 ratio(duck/sloth) median=3.49x p10=2.77x p90=3.64x sloth_total=0ms duck_total=1ms
projection_pushdown.slt                    0/74           0/19       n=0
propagate_empty_relation_outer_join.slt    6/6            6/6        n=6 ratio(duck/sloth) median=4.23x p10=2.32x p90=4.39x sloth_total=1ms duck_total=4ms
push_down_filter_outer_joins.slt           6/12           6/6        n=6 ratio(duck/sloth) median=7.34x p10=4.29x p90=10.53x sloth_total=1ms duck_total=5ms
push_down_filter_parquet.slt               0/9            0/80       n=0
push_down_filter_regression.slt            0/11           0/34       n=0
push_down_filter_unnest.slt                0/6            0/6        n=0
pwmj.slt                                   0/9            8/8        n=0
qualify.slt                                0/19           0/2        n=0
references.slt                             0/7            0/4        n=0
repartition.slt                            0/2            3/7        n=0
repartition_scan.slt                       0/5            0/16       n=0
repartition_subset_satisfaction.slt        0/10           0/7        n=0
run_end_encoded.slt                        0/4            0/1        n=0
same_column_name_cross_join.slt            0/4            6/6        n=0
scalar.slt                                 79/252         0/20       n=79 ratio(duck/sloth) median=4.98x p10=4.17x p90=7.08x sloth_total=5ms duck_total=26ms
schema_evolution.slt                       0/19           0/5        n=0
schema_evolution_nested.slt                0/4            0/6        n=0
select.slt                                 13/132         3/47       n=13 ratio(duck/sloth) median=4.25x p10=2.33x p90=6.25x sloth_total=1ms duck_total=5ms
set_variable.slt                           0/5            0/1        n=0
simplify_expr.slt                          0/9            0/2        n=0
simplify_predicates.slt                    0/0            2/2        n=0
slt_features.slt                           7/9            0/0        n=7 ratio(duck/sloth) median=4.07x p10=3.27x p90=5.60x sloth_total=0ms duck_total=2ms
sort_merge_join.slt                        0/66           3/18       n=0
sort_pushdown.slt                          0/120          0/176      n=0
statistics_registry.slt                    0/5            0/6        n=0
string_numeric_coercion.slt                2/50           0/18       n=2 ratio(duck/sloth) median=7.25x p10=3.00x p90=7.25x sloth_total=0ms duck_total=1ms
strings.slt                                1/13           0/2        n=1 ratio(duck/sloth) median=2.27x p10=2.27x p90=2.27x sloth_total=0ms duck_total=0ms
struct.slt                                 0/137          0/91       n=0
subquery.slt                               1/93           11/52      n=1 ratio(duck/sloth) median=5.75x p10=5.75x p90=5.75x sloth_total=0ms duck_total=1ms
subquery_sort.slt                          0/4            0/3        n=0
table_functions.slt                        4/64           0/0        n=4 ratio(duck/sloth) median=2.83x p10=1.96x p90=4.55x sloth_total=0ms duck_total=1ms
to_timestamp_timezone.slt                  0/24           0/0        n=0
topk.slt                                   0/11           0/5        n=0
truncate.slt                               0/0            2/4        n=0
type_coercion.slt                          0/9            0/3        n=0
union.slt                                  10/36          13/29      n=10 ratio(duck/sloth) median=5.43x p10=2.29x p90=15.99x sloth_total=2ms duck_total=8ms
union_by_name.slt                          0/30           8/8        n=0
union_function.slt                         0/3            0/0        n=0
unnest.slt                                 0/98           0/18       n=0
update.slt                                 0/0            2/2        n=0
wildcard.slt                               0/8            0/8        n=0
window.slt                                 11/275         7/72       n=11 ratio(duck/sloth) median=6.28x p10=0.40x p90=10.81x sloth_total=27ms duck_total=17ms
window_limits.slt                          0/30           0/1        n=0
window_topk_pushdown.slt                   0/2            0/1        n=0
window_topn.slt                            0/14           0/4        n=0
----------------------------------------------------------------------------------------------------------------------------------
OVERALL: parity 550/5806 (9.5%), disagree 183, setup_ok_both 465, setup_fail_sloth_only 316, setup_fail_duck_only 0
SPEEDUP: n=550 ratio(duck/sloth) median=5.60x p10=3.30x p90=10.84x sloth_total=74ms duck_total=275ms
